Target System,Mission Name,Mission Type,Status,Priority,Lead Scientist/Org,Launch Date,ETA,Key Objectives,Significant Finding,Anomaly Detected,Resource Needs,Estimated Cost (Millions),Mission Log URL,Telemetry URL
Proxima Centauri b,StarSeeker-1,Flyby,En Route,High,Dr. Aris Thorne,2035-02-15,2077-08-20,"Atmosphere Scan,Magnetic Field Scan",FALSE,FALSE,"Data Relay,High Power",1500,https://logs.spaceagency.gov/mission/ss1,https://telemetry.spaceagency.gov/ss1
Kepler-186f,Genesis Probe,Orbiter,Orbiting,Critical,Xenobiology Lab,2038-06-10,2055-11-01,"Biosignature Search,Surface Mapping",TRUE,FALSE,"AI Analysis,Data Relay",2200,https://logs.spaceagency.gov/mission/gp1,https://telemetry.spaceagency.gov/gp1
TRAPPIST-1e,Habitat Finder 1,Lander,Surface Ops,High,"Xenobiology Lab,Stellar Cartography Dept",2040-01-25,2052-03-15,"Geological Survey,Atmosphere Sampling,Water Detection",FALSE,TRUE,"High Power,AI Analysis",3100,https://logs.spaceagency.gov/mission/hf1,https://telemetry.spaceagency.gov/hf1
Gliese 581g (candidate),DeepLook Telescope,Orbiter,Planning,Medium,Stellar Cartography Dept,2045-11-10,TBD,"Exoplanet Imaging,Atmosphere Composition",FALSE,FALSE,"Data Relay",1800,https://logs.spaceagency.gov/mission/dt1,
Luyten b,Prospector Bot Alpha,Rover,En Route,Medium,Dr. Jian Li,2042-03-01,2050-07-22,"Mineral Analysis,Subsurface Scan",FALSE,FALSE,"High Power",2500,https://logs.spaceagency.gov/mission/pba,https://telemetry.spaceagency.gov/pba
Tau Ceti e,Echo Sounder,Orbiter,Data Analysis,Low,Planetary Dynamics Group,2036-08-01,2048-12-10,"Seismic Activity Scan,Core Composition",TRUE,FALSE,"AI Analysis",1650,,https://telemetry.spaceagency.gov/es1
Ross 128 b,Pathfinder Lite,Flyby,Complete,Low,University Consortium,2033-09-20,2041-05-05,"Basic System Scan",FALSE,FALSE,,800,https://logs.spaceagency.gov/mission/pl1,
Alpha Centauri Bb (contested),Centauri Probe,Probe,Anomaly,High,Dr. Aris Thorne,2039-04-11,2043-10-30,"Close Observation,Gravity Measurement",FALSE,TRUE,"Data Relay",950,https://logs.spaceagency.gov/mission/cp1,https://telemetry.spaceagency.gov/cp1
Wolf 1061c,Sample Collector Prime,Sample Return,Surface Ops,Critical,Xenobiology Lab,2041-07-15,2053-01-20,"Surface Sample Collection,Organic Matter Analysis",FALSE,FALSE,"High Power,AI Analysis,Data Relay",4500,https://logs.spaceagency.gov/mission/scp1,https://telemetry.spaceagency.gov/scp1
Kepler-452b,"Pale Blue Dot" Orbiter,Orbiter,Orbiting,Medium,Stellar Cartography Dept,2043-10-01,2075-06-15,"Habitability Assessment,Cloud Patterns",FALSE,FALSE,"Data Relay,AI Analysis",2800,https://logs.spaceagency.gov/mission/pbdo1,https://telemetry.spaceagency.gov/pbdo1
HD 40307g,Super-Earth Explorer,Lander,Landing,High,Planetary Dynamics Group,2044-05-20,2058-09-05,"Atmosphere Entry Analysis,Surface Imaging",FALSE,FALSE,"High Power,Data Relay",3300,https://logs.spaceagency.gov/mission/see1,https://telemetry.spaceagency.gov/see1
Proxima Centauri b (Follow-up),StarSeeker-2,Lander,Planning,Critical,Dr. Aris Thorne,2048-01-01,TBD,"Surface Deployment,Life Detection Suite",FALSE,FALSE,"High Power,AI Analysis,Data Relay",5000,,
