Entry Name,Description,Region,Entry Type,Parent Entry,Status,Primary Author,Tags/Keywords,Related Entries,Complexity/Size,Art Needed,Plot Hook Included,Draft Date,Wiki Link,Inspiration Link
Merfolk Kingdom,,Azure Coast,Faction,,Draft In Progress,Loremaster Elara,"Merfolk,Underwater City,Trade,Abandoned,Ancient","Azure Accords,Ancient Dragon Accord,Ancient Ruins",L,TRUE,FALSE,2024-05-15,https://worldanvil.local/wiki/merfolk_kingdom,
The Sunken Temple,,Azure Coast,Ruin,,Draft In Progress,Loremaster Elara,"Ancient Ruins,Water Temple,Cursed",Naga Sorceress,M,TRUE,TRUE,2024-04-20,https://worldanvil.local/wiki/sunken_temple,https://inspi.local/ruins/water_temple
Ancient Dragon Accord,,Dragon Spine Mtns,Historical Event,,Needs Map Ref,WorldForge AI,"Dragons,Peace Treaty,History",Dragon Spine Mtns,XL,FALSE,TRUE,2024-02-28,https://worldanvil.local/wiki/dragon_accord,
Dragon Spine Mountains,,Dragon Spine Mtns,Landmark,,Needs Detail,WorldForge AI,"Mountains,Dragons,Dangerous",Ancient Dragon Accord,M,TRUE,FALSE,2024-02-10,https://worldanvil.local/wiki/dragon_spine,
Gloomfang Spiders,,Shadowlands,Flora/Fauna,,Outline,Loremaster Elara,"Spiders,Poisonous,Giant",,S,FALSE,TRUE,,,
The Azure Accords (Treaty),,Sunken Isles,Historical Event,,Review,Loremaster Elara,"Treaty,Naval Power,Merfolk",Merfolk Kingdom,S,FALSE,TRUE,2024-04-10,https://worldanvil.local/wiki/azure_accords,
Adventurer's Guild (Aeridor),,Verdant Kingdoms,Character Group,,Draft In Progress,Bardrick Quill,"Guild,Quests,Mercenaries",City of Aeridor,S,FALSE,TRUE,2024-05-18,https://worldanvil.local/wiki/aeridor_guild,
Veridian Elves,,Verdant Kingdoms,Culture,,Linking Needed,Bardrick Quill,"Elves,Forest Dwellers,Archery,Ancient",Elven Migration Routes,M,TRUE,TRUE,2023-12-01,https://worldanvil.local/wiki/veridian_elves,
Elven Migration Routes,,Verdant Kingdoms,Historical Event,,Outline,Bardrick Quill,"Elves,History,War",Veridian Elves,S,FALSE,FALSE,,,
Sunstone of Aeridor,,Verdant Kingdoms,Item/Artifact,,Needs Detail,Bardrick Quill,"Magic Item,Royal Regalia,Sun Power",City of Aeridor,S,FALSE,TRUE,2024-01-25,https://worldanvil.local/wiki/sunstone,
Whispering Desert Nomads,,Whispering Desert,Culture,Adventurer's Guild (Aeridor),Outline,Bardrick Quill,"Nomads,Desert Survival,Oral Tradition",Sand Wyrms,XL,TRUE,FALSE,2024-05-01,https://worldanvil.local/wiki/desert_nomads,https://inspi.local/cultures/desert
Obsidian Fortress,,Dragon Spine Mtns,Ruin,,Finalized,WorldForge AI,"Dwarven,Lava Flows,Abandoned",Forge Masters Clan,L,TRUE,TRUE,2024-03-20,https://worldanvil.local/wiki/obsidian_fortress,
Shadowfen Naga Tribe,,Shadowlands,Faction,,Finalized,Loremaster Elara,"Naga,Swamp Dwellers,Neutral Evil",Sunken Temple,M,FALSE,TRUE,2024-03-05,https://worldanvil.local/wiki/naga_tribe,
City of Aeridor,,Verdant Kingdoms,City,,Finalized,Bardrick Quill,"Capital,Trade Hub,Royal Court",King Theron III,L,TRUE,TRUE,2024-01-15,https://worldanvil.local/wiki/aeridor,https://inspi.local/cities/aeridor
