SKU,ProductName,Category,Supplier,StockLevel,Status,Price,Featured,LastOrderDate,ProductURL
WDGT001,Super Widget,Widgets,"Supplier A",55,In Stock,19.99,TRUE,2024-07-01,http://example.com/product/WDGT001
GADG002,Mega Gadget,Gadgets,"Supplier B",8,Low Stock,49.50,FALSE,2024-06-15,http://example.com/product/GADG002
TOOL003,Power Tool Set,Tools,"Supplier A",0,Out of Stock,129.00,FALSE,2024-05-20,http://example.com/product/TOOL003
WDGT004,Mini Widget,Widgets,"Supplier C",150,In Stock,9.95,FALSE,2024-07-10,http://example.com/product/WDGT004
ELEC005,"Smart Display, 10""",Electronics,"Supplier B",25,In Stock,89.99,yes,2024-07-05,http://example.com/product/ELEC005
TOOL006,Hammer,Tools,"Supplier C",75,In Stock,12.50,no,2024-07-12,
GADG007,Wireless Earbuds,Gadgets,"Supplier A",3,Low Stock,75.00,TRUE,2024-06-28,http://example.com/product/GADG007
ELEC008,USB-C Cable,Electronics,"Supplier C",200,In Stock,8.99,FALSE,2024-07-11,http://example.com/product/ELEC008
WDGT009,Widget Pro,Widgets,"Supplier B",0,Out of Stock,39.99,yes,2024-06-01,http://example.com/product/WDGT009
TOOL010,Screwdriver Set,Tools,"Supplier A",42,In Stock,24.95,no,2024-07-08,http://example.com/product/TOOL010
GADG011,Portable Charger,Gadgets,"Supplier C",15,Low Stock,29.99,FALSE,2024-06-20,http://example.com/product/GADG011
ELEC012,Smart Bulb,Electronics,"Supplier A",110,In Stock,14.99,TRUE,2024-07-02,http://example.com/product/ELEC012
WDGT013,Widget Accessory Pack,Widgets,"Supplier C",60,In Stock,15.00,no,2024-07-09,
TOOL014,Wrench Set,Tools,"Supplier B",1,Low Stock,55.50,FALSE,2024-06-18,http://example.com/product/TOOL014
GADG015,Bluetooth Speaker,Gadgets,"Supplier A",30,In Stock,99.00,yes,2024-07-03,http://example.com/product/GADG015
